MULakeNumber,waterBody,AlternativeNames1,AlternativeNames2,samplingSite,Latitude_samplingSite,Longitude_samplingSite,Notes
123,Shelbyville,Shelbyville,NA,Shelbyville 1,39.807081419345856,-92.05115829034756,NA
133,Forest,Forest,NA,Forest 1,40.17,-92.65,NA
134,Jamesport_City,Jamesport City,NA,Jamesport City 1,39.9906655290186,-93.81062227485462,NA
139,Marceline_North,Marceline (North),NA,Marceline (North) 1,39.72283450710069,-92.91965813182615,NA
140,Cameron_Century,Cameron 1 (Century),Cameron1Century,Cameron 1 (Century) 1,39.76245187210934,-94.2613977249828,NA
145,Mark_Twain,Mark Twain,NA,Mark Twain 1,39.52,-91.65,NA
149,Lake_of_the_Ozarks,Lake of the Ozarks,NA,Lake of the Ozarks 1,38.21,-92.63,NA
150,Blind_Pony,Blind Pony,NA,Blind Pony 1,39.03386298319086,-93.36716499431174,NA
163,King,King,NA,King 1,40.02110798877591,-94.43711463621229,NA
164,Elmwood,Elmwood,NA,Elmwood 1,40.225112338531034,-93.11525285323188,NA
165,Jackrabbit,Jackrabbit,NA,Jackrabbit 1,38.888991429009934,-94.32393817925976,NA
169,Gopher,Gopher,NA,Gopher 1,38.87413489450148,-94.31502738228924,NA
179,Nodaway_County,Nodaway County,NA,Nodaway County 1,40.42709648858388,-94.85753326482632,NA
180,Bilby_Ranch,Bilby Ranch,NA,Bilby Ranch 1,40.34950613043149,-95.1331617995722,NA
181,Mozingo,Mozingo,NA,Mozingo 1,40.350219111282975,-94.7774324015584,NA
182,Fox_Valley,Fox Valley,NA,Fox Valley 1,40.497856977689786,-91.7668181438572,NA
183,Hazel_Hill,Hazel Hill,NA,Hazel Hill 1,38.8457837019902,-93.77747669921092,NA
184,Manito,Manito,NA,Manito 1,38.591094543217544,-92.8064497036395,NA
185,Harrison_County,Harrison County,NA,Harrison County 1,40.39734199185816,-94.08433867160096,NA
186,Carl_DiSalvo,Carl DiSalvo,Bismark,Carl DiSalvo 1,37.73086367751094,-90.63406641209689,NA
192,Jo_Shelby,Jo Shelby,NA,Jo Shelby 1,39.716944361123325,-93.32241168894492,NA
195,Limpp,Limpp,NA,Limpp 1,40.06299512811226,-94.53837082340245,NA
197,Prairie,Prairie,NA,Prairie 1,38.70939314925791,-90.69063294519395,NA
211,Cameron_Sunrise,Cameron 2 (Sunrise),Cameron2Sunrise,Cameron 2 (Sunrise) 1,39.76290278713659,-94.25829500823984,NA
213,Cameron_Eagle,Cameron 3 (Eagle),Cameron_3Eagle,Cameron 3 (Eagle) 1,39.77379008311739,-94.27196939609394,NA
218,Bucklin_City,Bucklin City,NA,Bucklin City 1,39.76741178581524,-92.88184160653616,NA
219,Dairy_1,Dairy 1,NA,Dairy 1 1,38.994088760741946,-92.48899782855176,NA
224,Happy_Holler,Happy Holler,NA,Happy Holler 1,40.02571999500975,-94.73334080194934,NA
228,Jamesport_Community,Jamesport Community,NA,Jamesport Community 1,39.99829594294316,-93.8427158305646,NA
237,Milan_North,Milan (North),NA,Milan (North) 1,40.20017981811178,-93.10477960139852,NA
238,Monroe_Route_J,Monroe (Route J),NA,Monroe (Route J) 1,39.605767920427915,-91.66608870903728,NA
270,Vandalia,Vandalia,NA,Vandalia 1,39.377618561122176,-91.40859696126188,NA
272,Perry,Perry,NA,Perry 1,39.42380314430136,-91.67441065256774,NA
274,Alpine,Alpine,NA,Alpine 1,38.75,-91.08,NA
276,Ashland,Ashland,NA,Ashland 1,38.75550139332877,-92.20631259796129,NA
317,Buffalo_Bill,Buffalo Bill,NA,Buffalo Bill 1,39.81562206167988,-94.38362407650293,NA
411,Cedar,Cedar,NA,Cedar 1,38.89548799494311,-92.35308417231488,NA
438,Bethel,Bethel,NA,Bethel 1,38.90141603457868,-92.3422671269329,NA
440,Crow_Pond,Crow Pond,NA,Crow Pond 1,38.89371479356206,-91.73742336214856,NA
446,Sakatah,Sakatah,NA,Mid Lake,44.22457019238308,-93.55708832526604,NA
446-01-00,Sakatah,Sakatah,NA,NA,44.22442625985434,-93.55670113006484,NA
446-02-00,Sakatah,Sakatah,NA,NA,44.22161680555555,-93.56584368055556,NA
454,Cedar_Hill_Lake_1,Cedar Hill (Lake 1),NA,Cedar Hill (Lake 1) 1,38.33377393852189,-90.65446725191428,NA
455,West_Arrowhead,West Arrowhead,NA,West Arrowhead 1,39.476677545326154,-94.31687956301931,NA
470,WestArrowhead_Howell,NA,NA,WestArrowhead_Howell 1,36.65681998466074,-91.888745399189,NA
